,psu,hhld,season,dist,vdcmun,ward,location_region_HIMALAYAS_HILLS_TERAI,location_province
1,1001,15,Dry Season,Taplejung,4,8,1,1
2,1001,8,Dry Season,Taplejung,4,8,1,1
3,1001,20,Dry Season,Taplejung,4,8,1,1
4,1001,5,Dry Season,Taplejung,4,8,1,1
5,1001,19,Dry Season,Taplejung,4,8,1,1
6,1001,3,Dry Season,Taplejung,4,8,1,1
7,1001,6,Dry Season,Taplejung,4,8,1,1
8,1001,1,Dry Season,Taplejung,4,8,1,1
9,1001,12,Dry Season,Taplejung,4,8,1,1
10,1001,13,Dry Season,Taplejung,4,8,1,1
11,1001,16,Dry Season,Taplejung,4,8,1,1
12,1001,10,Dry Season,Taplejung,4,8,1,1
13,1001,14,Dry Season,Taplejung,4,8,1,1
14,1001,2,Dry Season,Taplejung,4,8,1,1
15,1001,4,Dry Season,Taplejung,4,8,1,1
16,1001,9,Dry Season,Taplejung,4,8,1,1
17,1001,17,Dry Season,Taplejung,4,8,1,1
18,1001,7,Dry Season,Taplejung,4,8,1,1
19,1001,11,Dry Season,Taplejung,4,8,1,1
20,1001,18,Dry Season,Taplejung,4,8,1,1
21,1002,16,Dry Season,Taplejung,17,6,1,1
22,1002,20,Dry Season,Taplejung,17,6,1,1
23,1002,4,Dry Season,Taplejung,17,6,1,1
24,1002,1,Dry Season,Taplejung,17,6,1,1
25,1002,5,Dry Season,Taplejung,17,6,1,1
26,1002,7,Dry Season,Taplejung,17,6,1,1
27,1002,13,Dry Season,Taplejung,17,6,1,1
28,1002,9,Dry Season,Taplejung,17,6,1,1
29,1002,15,Dry Season,Taplejung,17,6,1,1
30,1002,8,Dry Season,Taplejung,17,6,1,1
31,1002,3,Dry Season,Taplejung,17,6,1,1
32,1002,14,Dry Season,Taplejung,17,6,1,1
33,1002,19,Dry Season,Taplejung,17,6,1,1
34,1002,18,Dry Season,Taplejung,17,6,1,1
35,1002,2,Dry Season,Taplejung,17,6,1,1
36,1002,17,Dry Season,Taplejung,17,6,1,1
37,1002,6,Dry Season,Taplejung,17,6,1,1
38,1002,12,Dry Season,Taplejung,17,6,1,1
39,1002,11,Dry Season,Taplejung,17,6,1,1
40,1002,10,Dry Season,Taplejung,17,6,1,1
41,1003,4,Rainy Season,Taplejung,20,3,1,1
42,1003,5,Rainy Season,Taplejung,20,3,1,1
43,1003,9,Rainy Season,Taplejung,20,3,1,1
44,1003,19,Rainy Season,Taplejung,20,3,1,1
45,1003,15,Rainy Season,Taplejung,20,3,1,1
46,1003,7,Rainy Season,Taplejung,20,3,1,1
47,1003,6,Rainy Season,Taplejung,20,3,1,1
48,1003,11,Rainy Season,Taplejung,20,3,1,1
49,1003,10,Rainy Season,Taplejung,20,3,1,1
50,1003,16,Rainy Season,Taplejung,20,3,1,1
51,1003,18,Rainy Season,Taplejung,20,3,1,1
52,1003,2,Rainy Season,Taplejung,20,3,1,1
53,1003,8,Rainy Season,Taplejung,20,3,1,1
54,1003,12,Rainy Season,Taplejung,20,3,1,1
55,1003,14,Rainy Season,Taplejung,20,3,1,1
56,1003,17,Rainy Season,Taplejung,20,3,1,1
57,1003,20,Rainy Season,Taplejung,20,3,1,1
58,1003,13,Rainy Season,Taplejung,20,3,1,1
59,1003,3,Rainy Season,Taplejung,20,3,1,1
60,1003,1,Rainy Season,Taplejung,20,3,1,1
61,1004,16,Winter Season,Taplejung,24,3,1,1
62,1004,12,Winter Season,Taplejung,24,3,1,1
63,1004,17,Winter Season,Taplejung,24,3,1,1
64,1004,15,Winter Season,Taplejung,24,3,1,1
65,1004,11,Winter Season,Taplejung,24,3,1,1
66,1004,10,Winter Season,Taplejung,24,3,1,1
67,1004,9,Winter Season,Taplejung,24,3,1,1
68,1004,14,Winter Season,Taplejung,24,3,1,1
69,1004,7,Winter Season,Taplejung,24,3,1,1
70,1004,20,Winter Season,Taplejung,24,3,1,1
71,1004,18,Winter Season,Taplejung,24,3,1,1
72,1004,8,Winter Season,Taplejung,24,3,1,1
73,1004,2,Winter Season,Taplejung,24,3,1,1
74,1004,13,Winter Season,Taplejung,24,3,1,1
75,1004,3,Winter Season,Taplejung,24,3,1,1
76,1004,6,Winter Season,Taplejung,24,3,1,1
77,1004,1,Winter Season,Taplejung,24,3,1,1
78,1004,4,Winter Season,Taplejung,24,3,1,1
79,1004,19,Winter Season,Taplejung,24,3,1,1
80,1004,5,Winter Season,Taplejung,24,3,1,1
81,1005,10,Winter Season,Taplejung,31,6,1,1
82,1005,2,Winter Season,Taplejung,31,6,1,1
83,1005,1,Winter Season,Taplejung,31,6,1,1
84,1005,5,Winter Season,Taplejung,31,6,1,1
85,1005,7,Winter Season,Taplejung,31,6,1,1
86,1005,18,Winter Season,Taplejung,31,6,1,1
87,1005,14,Winter Season,Taplejung,31,6,1,1
88,1005,8,Winter Season,Taplejung,31,6,1,1
89,1005,17,Winter Season,Taplejung,31,6,1,1
90,1005,3,Winter Season,Taplejung,31,6,1,1
91,1005,13,Winter Season,Taplejung,31,6,1,1
92,1005,19,Winter Season,Taplejung,31,6,1,1
93,1005,6,Winter Season,Taplejung,31,6,1,1
94,1005,4,Winter Season,Taplejung,31,6,1,1
95,1005,9,Winter Season,Taplejung,31,6,1,1
96,1005,12,Winter Season,Taplejung,31,6,1,1
97,1005,16,Winter Season,Taplejung,31,6,1,1
98,1005,15,Winter Season,Taplejung,31,6,1,1
99,1005,11,Winter Season,Taplejung,31,6,1,1
100,1005,20,Winter Season,Taplejung,31,6,1,1
101,1006,7,Winter Season,Taplejung,50,2,1,1
102,1006,1,Winter Season,Taplejung,50,2,1,1
103,1006,9,Winter Season,Taplejung,50,2,1,1
104,1006,11,Winter Season,Taplejung,50,2,1,1
105,1006,10,Winter Season,Taplejung,50,2,1,1
106,1006,6,Winter Season,Taplejung,50,2,1,1
107,1006,20,Winter Season,Taplejung,50,2,1,1
108,1006,12,Winter Season,Taplejung,50,2,1,1
109,1006,13,Winter Season,Taplejung,50,2,1,1
110,1006,15,Winter Season,Taplejung,50,2,1,1
111,1006,18,Winter Season,Taplejung,50,2,1,1
112,1006,4,Winter Season,Taplejung,50,2,1,1
113,1006,17,Winter Season,Taplejung,50,2,1,1
114,1006,19,Winter Season,Taplejung,50,2,1,1
115,1006,5,Winter Season,Taplejung,50,2,1,1
116,1006,2,Winter Season,Taplejung,50,2,1,1
117,1006,3,Winter Season,Taplejung,50,2,1,1
118,1006,16,Winter Season,Taplejung,50,2,1,1
119,1006,14,Winter Season,Taplejung,50,2,1,1
120,1006,8,Winter Season,Taplejung,50,2,1,1
121,1007,19,Rainy Season,Panchthar,13,6,2,1
122,1007,1,Rainy Season,Panchthar,13,6,2,1
123,1007,18,Rainy Season,Panchthar,13,6,2,1
124,1007,11,Rainy Season,Panchthar,13,6,2,1
125,1007,14,Rainy Season,Panchthar,13,6,2,1
126,1007,3,Rainy Season,Panchthar,13,6,2,1
127,1007,16,Rainy Season,Panchthar,13,6,2,1
