,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
1,1001,10,1,Male,19,Son/Daughter,Class 5,1,110,Malaysia,J,9329
2,1001,14,1,Male,20,Son/Daughter,Class 12 and Intermediate,1,92,Malaysia,J,9211
3,1001,14,2,Male,19,Son/Daughter,SLC and equiv.,1,58,Malaysia,0,0
4,1001,14,3,Female,3,Grand son/daughter,NA,3,47,Morang,,NA
5,1001,4,1,Male,22,Son/Daughter,SLC and equiv.,1,2,Bahrain,0,0
6,1001,7,1,Female,2,Son/Daughter,NA,3,108,Sunsari,0,0
7,1001,7,2,Female,3,Son/Daughter,NA,3,96,Sunsari,0,0
8,1002,16,1,Male,20,Son/Daughter,SLC and equiv.,3,6,Jhapa,9,9999
9,1002,5,1,Female,15,Brother/sister,Class 9,3,24,Panchthar,9,9999
10,1002,7,1,Male,18,Son/Daughter,Class 5,4,84,Malaysia,I,8121
11,1002,7,2,Male,17,Son/Daughter,Class 9,3,24,Panchthar,9,9999
12,1002,7,3,Female,4,Grand son/daughter,NA,3,8,Panchthar,,NA
13,1002,13,1,Female,11,Son/Daughter,Class 5,3,38,Jhapa,9,9999
14,1002,13,2,Female,8,Son/Daughter,Class 4,3,10,Taplejung,,NA
15,1002,9,1,Female,24,Son/Daughter,SLC and equiv.,3,11,Jhapa,9,9999
16,1002,15,1,Male,19,Son/Daughter,SLC and equiv.,3,38,Jhapa,9,9999
17,1002,8,1,Male,27,Other relatives,Class 7,1,39,Lebanon,0,0
18,1002,3,1,Male,29,Son/Daughter,Class 7,1,11,Saudi Arabia,0,0
19,1002,3,2,Female,19,Daughter-in-law,Class 9,3,23,Jhapa,9,9999
20,1002,3,3,Male,0,Grand son/daughter,NA,7,8,Jhapa,,NA
21,1002,14,1,Male,32,Spouse,Class 5,1,109,Malaysia,I,8142
22,1002,14,2,Female,3,Son/Daughter,NA,3,32,Jhapa,,NA
23,1002,19,1,Male,33,Son/Daughter,Class 3,1,1,Taplejung,H,7123
24,1002,18,1,Female,13,Son/Daughter,Class 7,3,22,Taplejung,9,9999
25,1002,18,2,Female,26,Daughter-in-law,SLC and equiv.,3,22,Taplejung,9,9999
26,1002,18,3,Male,5,Grand son/daughter,Illiterate,3,22,Taplejung,,NA
27,1002,18,4,Female,0,Grand son/daughter,NA,7,15,Taplejung,,NA
28,1002,17,1,Male,23,Son/Daughter,Class 5,1,60,Malaysia,0,0
29,1002,17,2,Male,25,Son/Daughter,Class 5,1,2,United Arab Emirates,0,0
30,1002,12,1,Male,30,Son/Daughter,SLC and equiv.,1,36,Kathmandu,0,0
31,1002,12,2,Male,22,Son/Daughter,SLC and equiv.,3,8,Jhapa,0,0
32,1002,11,1,Male,19,Son/Daughter,SLC and equiv.,1,72,Malaysia,0,0
33,1002,11,2,Male,14,Son/Daughter,Class 8,3,72,Jhapa,0,0
34,1002,10,1,Male,33,Spouse,Class 4,1,12,Qatar,J,9333
35,1003,15,1,Male,22,Son/Daughter,Class 8,4,6,Qatar,F,5131
36,1003,16,1,Male,27,Son/Daughter,Class 12 and Intermediate,4,19,Kuwait,J,9112
37,1003,14,1,Female,13,Son/Daughter,Class 7,3,25,Taplejung,9,9999
38,1003,14,2,Female,10,Son/Daughter,Class 5,3,25,Taplejung,9,9999
39,1003,14,3,Male,7,Son/Daughter,Nursery/LKG/UKG,3,25,Taplejung,,NA
40,1003,20,1,Male,30,Son/Daughter,Class 7,1,10,Qatar,I,8332
41,1004,12,1,Male,21,Son/Daughter,Class 8,4,8,United Arab Emirates,J,9412
42,1004,17,1,Male,23,Son/Daughter,SLC and equiv.,4,6,United Arab Emirates,J,9412
43,1004,15,1,Male,45,Son/Daughter,Class 2,4,45,Malaysia,0,0
44,1004,9,1,Male,21,Son/Daughter,Class 8,4,3,India,J,9112
45,1004,14,1,Male,36,Son/Daughter,Class 7,4,60,Malaysia,J,9212
46,1004,14,2,Male,32,Son/Daughter,Class 6,4,47,Malaysia,J,9212
47,1004,14,3,Male,26,Son/Daughter,Class 9,4,24,Jhapa,0,0
48,1004,2,1,Male,26,Spouse,Class 2,4,8,India,J,9412
49,1004,6,1,Male,32,Spouse,SLC and equiv.,4,1,Malaysia,J,9112
50,1005,10,1,Male,26,Son/Daughter,SLC and equiv.,1,32,Saudi Arabia,F,5223
51,1005,1,1,Male,18,Son/Daughter,SLC and equiv.,1,48,"Korea, Republic of",F,5131
52,1005,1,2,Male,21,Son/Daughter,Class 9,1,13,Malaysia,F,5414
53,1005,1,3,Female,16,Son/Daughter,Class 12 and Intermediate,3,27,Sunsari,0,0
54,1005,7,1,Male,38,Spouse,Class 8,1,8,Kyrgyzstan,J,9112
55,1005,8,1,Male,18,Son/Daughter,Class 12 and Intermediate,3,73,Jhapa,9,9999
56,1005,8,2,Female,16,Son/Daughter,SLC and equiv.,3,4,Jhapa,9,9999
57,1005,3,1,Male,21,Son/Daughter,SLC and equiv.,1,32,Saudi Arabia,F,5131
58,1005,3,2,Male,22,Son/Daughter,SLC and equiv.,1,3,Saudi Arabia,F,5131
59,1005,6,1,Male,35,Spouse,Class 8,1,17,Qatar,F,5151
60,1005,12,1,Female,18,Son/Daughter,SLC and equiv.,1,60,Malaysia,H,7422
61,1005,12,2,Male,21,Son/Daughter,Class 12 and Intermediate,1,6,Qatar,H,7131
62,1006,7,1,Male,16,Son/Daughter,SLC and equiv.,3,120,Japan,0,0
63,1006,7,2,Male,16,Son/Daughter,SLC and equiv.,3,96,Kathmandu,0,0
64,1006,1,1,Male,25,Son/Daughter,Class 7,4,12,Malaysia,0,0
65,1006,1,2,Male,20,Son/Daughter,Class 10,4,12,Malaysia,0,0
66,1006,11,1,Male,15,Son/Daughter,SLC and equiv.,3,57,Taplejung,D,3412
67,1006,6,1,Male,37,Spouse,Class 3,4,57,Malaysia,J,9111
68,1006,6,2,Female,11,Son/Daughter,Class 4,5,17,Kathmandu,0,0
69,1006,20,1,Male,24,Son/Daughter,Class 8,1,36,Malaysia,J,9321
70,1006,18,1,Male,3,Son/Daughter,NA,5,120,Terhathum,0,0
71,1006,2,1,Male,16,Son/Daughter,Class 8,1,108,Kathmandu,0,0
72,1006,2,2,Female,29,Daughter-in-law,Class 10,1,29,Kathmandu,0,0
73,1006,2,3,Female,0,Grand son/daughter,NA,5,72,Kathmandu,,NA
74,1006,2,4,Male,0,Grand son/daughter,NA,5,36,Kathmandu,,NA
75,1006,3,1,Male,7,Son/Daughter,Class 1,3,1,Taplejung,,NA
76,1006,3,2,Male,5,Son/Daughter,Nursery/LKG/UKG,3,1,Taplejung,,NA
77,1006,8,1,Male,8,Son/Daughter,Class 3,3,4,Taplejung,,NA
78,1006,8,2,Male,5,Son/Daughter,Nursery/LKG/UKG,3,1,Taplejung,,NA
79,1007,1,1,Male,23,Spouse,Class 5,1,12,United Arab Emirates,J,9333
80,1007,1,2,Female,5,Son/Daughter,Nursery/LKG/UKG,3,4,Panchthar,,NA
81,1007,18,1,Male,24,Son/Daughter,Class 8,1,18,United Arab Emirates,J,9111
82,1007,18,2,Male,20,Son/Daughter,Class 10,1,24,United Arab Emirates,J,9321
83,1007,14,1,Male,19,Son/Daughter,Class 8,1,18,United Arab Emirates,J,9613
84,1007,14,2,Male,19,Son/Daughter,Class 8,1,8,Saudi Arabia,I,8331
85,1007,3,1,Male,19,Son/Daughter,Class 8,1,12,Saudi Arabia,I,8212
86,1007,3,2,Male,18,Son/Daughter,Class 4,1,35,Malaysia,J,9613
87,1007,16,1,Male,22,Son/Daughter,Class 4,1,26,Saudi Arabia,J,9612
88,1007,12,1,Male,22,Son/Daughter,Class 5,1,24,Qatar,0,0
89,1007,2,1,Male,17,Son/Daughter,SLC and equiv.,3,60,Kathmandu,9,9999
90,1007,5,1,Male,30,Son/Daughter,Class 9,1,9,Qatar,H,7113
91,1007,8,1,Female,18,Son/Daughter,SLC and equiv.,3,120,Morang,9,9999
92,1007,8,2,Female,21,Son/Daughter,Bachelor Level and equiv.,3,24,Morang,9,9999
93,1007,8,3,Male,18,Son/Daughter,SLC and equiv.,3,18,Morang,9,9999
94,1007,8,4,Male,15,Son/Daughter,SLC and equiv.,3,2,Morang,9,9999
95,1007,7,1,Male,30,Spouse,Class 5,1,1,Mustang,J,9333
96,1007,10,1,Male,30,Spouse,Class 8,1,1,Saudi Arabia,J,9312
97,1007,13,1,Male,18,Son/Daughter,SLC and equiv.,1,24,Qatar,J,9312
98,1007,17,1,Male,18,Son/Daughter,Class 8,1,108,Malaysia,F,5414
99,1007,17,2,Male,18,Son/Daughter,Class 3,1,36,Malaysia,J,9111
100,1008,11,1,Female,4,Grand son/daughter,NA,3,21,Jhapa,,NA
101,1008,16,1,Female,15,Son/Daughter,SLC and equiv.,3,15,Jhapa,9,9999
102,1008,19,1,Male,19,Son/Daughter,SLC and equiv.,1,2,Panchthar,F,5419
103,1008,1,1,Male,25,Spouse,Class 5,1,25,Malaysia,0,0
104,1008,3,1,Male,29,Spouse,Literate (Levelless),1,6,Malaysia,J,9112
105,1009,20,1,Male,22,Brother/sister,Class 5,4,24,Saudi Arabia,J,9329
106,1009,3,1,Female,38,Spouse,Class 4,7,48,Jhapa,9,9999
107,1009,3,2,Male,12,Son/Daughter,Class 6,3,24,Jhapa,9,9999
108,1009,7,1,Female,45,Spouse,Literate (Levelless),4,60,Kuwait,J,9111
109,1009,7,2,Female,30,Son/Daughter,Class 12 and Intermediate,1,48,Kathmandu,D,3355
110,1009,6,1,Male,30,Spouse,Class 8,4,36,Malaysia,J,9321
111,1009,2,1,Female,49,Spouse,Literate (Levelless),1,13,Saudi Arabia,J,9111
112,1009,18,1,Male,23,Son/Daughter,Class 10,3,4,Jhapa,9,9999
113,1009,16,1,Male,25,Son/Daughter,Class 8,1,84,Saudi Arabia,I,8322
114,1009,16,2,Male,19,Father / mother,SLC and equiv.,1,60,Saudi Arabia,J,9333
115,1010,6,1,Female,15,Son/Daughter,SLC and equiv.,3,72,Jhapa,9,9999
116,1010,10,1,Male,30,Spouse,Class 10,4,48,Saudi Arabia,0,0
117,1010,3,1,Female,16,Son/Daughter,Class 12 and Intermediate,3,24,Jhapa,9,9999
118,1010,3,2,Female,16,Son/Daughter,SLC and equiv.,3,2,Sunsari,9,9999
119,1010,3,3,Male,6,Son/Daughter,Class 3,3,48,Jhapa,9,9999
120,1010,2,1,Male,25,Spouse,Class 12 and Intermediate,4,1,Saudi Arabia,F,5414
121,1010,2,2,Male,22,Son/Daughter,SLC and equiv.,4,10,United Arab Emirates,0,0
122,1010,16,1,Male,26,Son/Daughter,Class 10,4,6,Malaysia,J,9412
123,1010,20,1,Female,18,Son/Daughter,Class 12 and Intermediate,3,36,Panchthar,9,9999
124,1010,20,2,Female,15,Son/Daughter,Class 8,3,36,Panchthar,9,9999
125,1010,20,3,Male,13,Son/Daughter,Class 7,3,36,Panchthar,0,0
126,1010,18,1,Male,29,Son/Daughter,Class 12 and Intermediate,4,23,Jhapa,J,0
127,1010,18,2,Male,25,Son/Daughter,Class 4,4,28,Malaysia,0,0
128,1010,4,1,Male,36,Son/Daughter,SLC and equiv.,4,21,Ilam,H,7113
129,1010,4,2,Male,35,Son/Daughter,Class 5,4,1,Kathmandu,0,0
130,1010,19,1,Male,28,Grand son/daughter,Class 10,4,24,Kuwait,F,5414
131,1010,19,2,Male,25,Grand son/daughter,Class 10,1,1,Ilam,F,5412
132,1010,17,1,Male,25,Son/Daughter,SLC and equiv.,1,25,Saptari,A,310
133,1010,5,1,Male,29,Spouse,Class 8,4,34,Malaysia,F,5414
134,1011,4,1,Male,30,Spouse,SLC and equiv.,4,19,Malaysia,F,5414
135,1011,8,1,Male,35,Spouse,Class 10,1,3,Taplejung,D,3355
136,1011,20,1,Male,38,Son/Daughter,Master Level and above,1,12,Taplejung,D,3122
137,1011,2,1,Male,38,Spouse,SLC and equiv.,1,24,Saudi Arabia,F,5223
138,1011,7,1,Male,18,Spouse,Class 10,1,204,India,A,310
139,1011,7,2,Male,16,Son/Daughter,SLC and equiv.,3,6,Kathmandu,0,0
140,1011,15,1,Male,35,Spouse,Class 8,1,8,India,A,210
141,1011,10,1,Male,27,Son/Daughter,Class 12 and Intermediate,1,14,Macao,0,0
142,1012,7,1,Male,33,Spouse,SLC and equiv.,1,43,Qatar,J,9112
143,1012,6,1,Female,17,Son/Daughter,Class 12 and Intermediate,3,2,Jhapa,9,9999
144,1012,14,1,Male,30,Son/Daughter,Class 12 and Intermediate,1,1,Malaysia,F,5414
145,1012,14,2,Male,26,Son/Daughter,Class 12 and Intermediate,1,2,Qatar,0,0
146,1012,14,3,Male,18,Son/Daughter,SLC and equiv.,3,62,Ilam,9,9999
147,1012,16,1,Male,43,Spouse,Class 4,1,23,Saudi Arabia,J,9313
148,1012,5,1,Male,17,Son/Daughter,SLC and equiv.,3,73,Jhapa,9,9999
149,1012,5,2,Male,18,Son/Daughter,Class 12 and Intermediate,1,22,Mugu,A,310
150,1012,11,1,Male,29,Son/Daughter,Class 10,1,17,Qatar,J,9621
151,1012,11,2,Male,18,Son/Daughter,Class 12 and Intermediate,3,48,Jhapa,0,0
152,1012,18,1,Male,29,Son/Daughter,SLC and equiv.,1,6,India,J,9329
153,1012,18,2,Male,17,Son/Daughter,SLC and equiv.,1,6,Kathmandu,F,5414
154,1012,10,1,Male,31,Spouse,Class 5,1,24,Qatar,H,7115
155,1012,13,1,Male,18,Son/Daughter,Class 12 and Intermediate,1,6,India,E,4225
156,1012,9,1,Male,40,Spouse,Class 9,1,26,Qatar,J,9333
157,1012,8,1,Female,27,Son/Daughter,Bachelor Level and equiv.,1,24,Ilam,C,2330
158,1013,19,1,Male,24,Son/Daughter,Class 10,4,5,Malaysia,H,7511
159,1013,15,1,Male,24,Son/Daughter,Class 8,4,4,Morang,H,7112
160,1013,15,2,Male,22,Son/Daughter,Class 7,4,1,Qatar,J,9112
161,1013,6,1,Male,18,Son/Daughter,Class 7,1,14,Malaysia,I,8212
162,1013,17,1,Male,21,Son/Daughter,Class 8,1,36,Malaysia,0,0
163,1014,5,1,Male,22,Son/Daughter,Bachelor Level and equiv.,4,3,"Korea, Republic of",J,9329
164,1014,5,2,Male,20,Son/Daughter,Class 12 and Intermediate,4,6,"Korea, Republic of",J,9329
165,1014,12,1,Male,15,Son/Daughter,Class 8,4,6,Kathmandu,H,7122
166,1014,9,1,Female,12,Son/Daughter,Class 6,3,9,Jhapa,9,9999
167,1014,6,1,Male,14,Son/Daughter,SLC and equiv.,3,36,Jhapa,9,9999
